Cuentas,Tarjetas
2664500,5373722
2670190,5391364
2688569,5392795
2708526,5407936
2723420,5434120
2740108,5440759
2757569,5436441
2777488,5445376
2792536,5450288
2815096,5483911
2835379,5505178
2851873,5533867
2865884,5543726
2874010,5551373
2893945,5576756
2911799,5609220
2929921,5640230
2951569,5664072
2973700,8017883
2991935,8050081
3010030,8069886
3029429,8116125
3049702,8123486
3067731,8186365
3082365,8191338
3093506,8209496
3115154,8245708
3136838,8273760
3157388,10208385
3181086,10265635
3204213,10308938
3230293,10353575
3251763,10388565
3275548,10407871
3300622,10442781
3319952,10475417
3337000,10475164
3353307,10491246
3376643,10540690
3398242,10577297
3422328,10615021
3442482,10627794
3464540,10638375
3490589,10671883
3511447,10563761
3532107,10586035
3551677,10616027
3570784,10678171
3586640,10570904
3596791,10570965
3624407,10547188
3639763,10546545
3666546,10572394
3683395,10537419
3705482,10575332
3729048,10559545
3752469,10597308
3775704,10588707
3801698,10607511
3823293,10677674
3845146,10741704
3860982,10756547
3887599,10805981
3912417,10833365
3936126,10901636
3958248,10683428
3980743,10705742
4010354,10750494
4020249,10765306
4062810,10662419
4090056,10628651
4115527,14740199
4142531,14749302
4163421,14707013
4195563,14660989
4225862,14653355
4259524,14714085
4286605,14660611
4323028,14681755
4352046,14693855
4371711,14667319
4394095,14565284
4407147,14517297
4428821,14458893
4446918,14442249